"block_id","user_app","date","lat","long","type_house","raise_dog_house","number_dog_house","number_dog_vaccinated_2024","number_dog_vaccinated_sweep","head_or_observe_dogs_inside_house","multifamily","cluster"
"1.29.46-26","VP08","2024-12-01T08:52:19.329758","-16.309272499999999","-71.616127199999994","C",NA,NA,NA,NA,"no-sabe","no","cluster19"
"1.29.28-6","VP09","2024-12-01T08:53:13.349022","-16.297937999999998","-71.622176800000005","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:53:38.709555","-16.3091951","-71.616194399999998","R",NA,NA,NA,NA,"no-sabe","no","cluster19"
"1.29.46-20","VP08","2024-12-01T08:53:49.027452","-16.309170200000001","-71.616187999999994","C",NA,NA,NA,NA,"no-sabe","no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:54:20.127789","-16.3091361","-71.616163299999997","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.46-20","VP08","2024-12-01T08:55:29.440428","-16.3091118","-71.616155599999999","P","si",3,"3",0,NA,"no","cluster19"
"1.29.37-28","VP01","2024-12-01T08:55:27.293740","-16.315605300000001","-71.602986200000004","P","si",4,"0",4,NA,"no","cluster19"
"1.29.37-28","VP01","2024-12-01T08:55:48.489875","-16.315635100000002","-71.603042099999996","P","si",1,"0",1,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:55:59.956563","-16.309095500000002","-71.616153499999996","C",NA,NA,NA,NA,"no-sabe","no","cluster19"
"1.29.46-20","VP08","2024-12-01T08:56:13.840512","-16.309086499999999","-71.616151299999999","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.71-43","VP10","2024-12-01T08:56:02.960088","-16.2964521","-71.628030899999999","P","si",1,"1",1,NA,"no","cluster19"
"1.29.32-3","VP06","2024-12-01T08:57:05.743163","-16.304055900000002","-71.617567100000002","P","si",3,"0",3,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:57:10.065002","-16.3090814","-71.616153800000006","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.46-20","VP08","2024-12-01T08:57:18.398771","-16.309080900000001","-71.616152299999996","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:57:36.832129","-16.3090747","-71.616147299999994","D",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.46-20","VP08","2024-12-01T08:57:48.523980","-16.309070599999998","-71.616145700000004","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.46-20","VP08","2024-12-01T09:00:10.598876","-16.308852699999999","-71.615661599999996","P","si",1,"1",1,NA,"no","cluster19"
"1.29.32-3","VP06","2024-12-01T09:00:20.289346","-16.304235599999998","-71.617861899999994","P","si",3,"0",3,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T09:00:25.932203","-16.308823100000001","-71.615670499999993","P","si",1,"1",0,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T09:00:53.865347","-16.3087999","-71.615667200000004","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.36-7","VP02","2024-12-01T09:01:37.259772","-16.312766700000001","-71.603495100000004","P","si",2,"0",0,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T09:01:55.407124","-16.308776900000002","-71.615665300000003","C",NA,NA,NA,NA,"no-sabe","no","cluster19"
"1.29.36-7","VP02","2024-12-01T09:02:00.726348","-16.3125432","-71.603473199999996","P","si",2,"2",0,NA,"no","cluster19"
"1.29.36-7","VP02","2024-12-01T09:02:30.043546","-16.312834599999999","-71.603584900000001","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.38-10","VP05","2024-12-01T09:02:58.959184","-16.315891700000002","-71.608086599999993","P","si",2,"2",2,NA,"no","cluster19"
"1.29.38-10","VP05","2024-12-01T09:03:09.487428","-16.315888699999999","-71.607986400000001","D",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.46-19","VP08","2024-12-01T09:04:05.569371","-16.308630699999998","-71.615354300000007","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.46-19","VP08","2024-12-01T09:04:13.786160","-16.308656899999999","-71.615373700000006","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.37-29","VP01","2024-12-01T09:04:46.746622","-16.315214900000001","-71.603112400000001","P","si",2,"0",2,NA,"no","cluster19"
"1.29.37-29","VP01","2024-12-01T09:05:04.164936","-16.315467999999999","-71.603019599999996","P","si",2,"0",2,NA,"no","cluster19"
"1.29.36-7","VP02","2024-12-01T09:04:04.908424","-16.3123912","-71.603348499999996","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.52-10","VP07","2024-12-01T09:05:59.856935","-16.313980699999998","-71.6282116","P","si",1,"0",1,NA,"no","cluster19"
"1.29.71-43","VP10","2024-12-01T09:06:03.381910","-16.296744400000001","-71.628716600000004","P","si",4,"4",4,NA,"no","cluster19"
"1.29.52-9","VP07","2024-12-01T09:06:21.569579","-16.314021400000001","-71.628196500000001","P","si",1,"0",1,NA,"no","cluster19"
"1.29.32-2","VP06","2024-12-01T09:06:35.151085","-16.3042856","-71.617384999999999","D",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T09:06:18.992068","-16.308600800000001","-71.615681800000004","P","si",1,"1",1,NA,"no","cluster19"
"1.29.36-7","VP02","2024-12-01T09:06:50.413934","-16.312259000000001","-71.603910099999993","P","si",2,"2",0,NA,"no","cluster19"
"1.29.28-3","VP09","2024-12-01T09:07:45.951789","-16.2984996","-71.623039599999998","P","si",4,"0",4,NA,"no","cluster19"
"1.29.36-7","VP02","2024-12-01T09:08:10.547175","-16.312183300000001","-71.603898900000004","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.46-26","VP08","2024-12-01T09:08:09.828410","-16.308730700000002","-71.615602199999998","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.28-3","VP09","2024-12-01T09:08:09.921055","-16.298325500000001","-71.622923200000002","P","si",1,"0",1,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T09:08:15.679658","-16.308644600000001","-71.615608300000005","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.28-3","VP09","2024-12-01T09:08:24.604002","-16.298339800000001","-71.622916099999998","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.38-9","VP05","2024-12-01T09:09:48.512059","-16.3153267","-71.608623899999998","P","si",2,"2",2,NA,"no","cluster19"
"1.29.38-9","VP05","2024-12-01T09:10:04.066821","-16.3153249","-71.608633499999996","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.38-9","VP05","2024-12-01T09:10:11.934853","-16.315295899999999","-71.608692300000001","LV",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.38-9","VP05","2024-12-01T09:10:22.805888","-16.315289100000001","-71.608686000000006","D",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.38-9","VP05","2024-12-01T09:10:30.618644","-16.315282700000001","-71.608680500000006","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.28-2","VP09","2024-12-01T09:11:17.613127","-16.2981026","-71.622621100000003","P","si",3,"3",0,NA,"no","cluster19"
"1.29.37-32","VP01","2024-12-01T09:11:50.962626","-16.315961399999999","-71.603144999999998","P","si",2,"1",1,NA,"no","cluster19"
"1.29.71-43","VP10","2024-12-01T09:13:11.091984","-16.297360999999999","-71.629806799999997","P","si",2,"2",2,NA,"no","cluster19"
"1.29.71-43","VP10","2024-12-01T09:14:31.783732","-16.296954499999998","-71.628739699999997","P","si",1,"1",1,NA,"no","cluster19"
"1.29.36-15","VP02","2024-12-01T09:15:54.448071","-16.311829599999999","-71.603887599999993","P","si",1,"0",1,NA,"no","cluster19"
"1.29.32-2","VP06","2024-12-01T09:06:49.384396","-16.304155300000001","-71.617542400000005","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.36-7","VP02","2024-12-01T09:16:28.081280","-16.3118196","-71.603877600000004","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.38-10","VP05","2024-12-01T09:17:03.687466","-16.315232900000002","-71.608706299999994","P","si",3,"3",3,NA,"no","cluster19"
"1.29.46-19","VP08","2024-12-01T09:17:11.619179","-16.3088543","-71.615205099999997","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.38-23","VP05","2024-12-01T09:17:15.069622","-16.3151948","-71.608696600000002","P","si",2,"2",2,NA,"no","cluster19"
"1.29.38-13","VP05","2024-12-01T09:17:23.285446","-16.315204099999999","-71.608696699999996","P","si",1,"1",1,NA,"no","cluster19"
"1.29.32-2","VP06","2024-12-01T09:16:32.311240","-16.304026700000001","-71.617523300000002","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.52-8","VP07","2024-12-01T09:17:40.888269","-16.314006899999999","-71.628838000000002","LV",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.52-11","VP07","2024-12-01T09:17:49.492527","-16.313956999999998","-71.628854899999993","LV",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.32-4","VP06","2024-12-01T09:18:08.356378","-16.304027300000001","-71.617812599999993","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.32-3","VP06","2024-12-01T09:18:42.017073","-16.3041205","-71.617758499999994","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.32-3","VP06","2024-12-01T09:18:47.237677","-16.3040828","-71.617772599999995","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.32-2","VP06","2024-12-01T09:18:55.409081","-16.304107299999998","-71.617767299999997","P","si",2,"0",2,NA,"no","cluster19"
"1.29.38-9","VP05","2024-12-01T09:19:42.984017","-16.3146953","-71.608828399999993","C",NA,NA,NA,NA,"si","no","cluster19"
