"DATE";"CLUSTER"
"2024-12-01T10:26:22.646367";"cluster19"
"2024-12-01T10:26:34.186125";"cluster19"
"2024-12-01T10:26:32.440677";"cluster19"
"2024-12-01T10:26:41.752560";"cluster19"
"2024-12-01T10:26:46.372407";"cluster19"
"2024-12-01T10:26:50.940128";"cluster19"
"2024-12-01T10:26:54.872815";"cluster19"
"2024-12-01T10:26:58.794237";"cluster19"
"2024-12-01T10:27:02.759630";"cluster19"
"2024-12-01T10:27:06.647276";"cluster19"
"2024-12-01T10:27:11.013975";"cluster19"
"2024-12-01T10:27:16.160446";"cluster19"
"2024-12-01T10:27:12.675917";"cluster19"
"2024-12-01T10:27:19.290482";"cluster19"
"2024-12-01T10:26:31.091927";"cluster19"
"2024-12-01T10:27:55.343457";"cluster19"
"2024-12-01T10:28:02.393801";"cluster19"
"2024-12-01T10:28:06.429022";"cluster19"
"2024-12-01T10:28:11.498859";"cluster19"
"2024-12-01T10:28:48.930616";"cluster19"
"2024-12-01T10:29:00.179570";"cluster19"
"2024-12-01T10:29:19.558837";"cluster19"
"2024-12-01T10:29:18.530021";"cluster19"
"2024-12-01T10:30:30.944995";"cluster19"
"2024-12-01T10:30:59.520654";"cluster19"
"2024-12-01T10:32:34.865063";"cluster19"
"2024-12-01T10:33:32.419097";"cluster19"
"2024-12-01T10:34:06.311181";"cluster19"
"2024-12-01T10:34:56.204882";"cluster19"
"2024-12-01T10:34:57.142349";"cluster19"
"2024-12-01T10:35:04.464578";"cluster19"
"2024-12-01T10:35:11.217254";"cluster19"
"2024-12-01T10:36:06.530867";"cluster19"
"2024-12-01T10:36:32.063407";"cluster19"
"2024-12-01T10:32:52.765302";"cluster19"
"2024-12-01T10:36:52.329464";"cluster19"
"2024-12-01T10:37:16.581397";"cluster19"
"2024-12-01T10:37:21.277569";"cluster19"
"2024-12-01T10:37:26.630806";"cluster19"
"2024-12-01T10:37:35.264304";"cluster19"
"2024-12-01T10:37:38.913590";"cluster19"
"2024-12-01T10:37:43.464896";"cluster19"
"2024-12-01T10:37:49.548610";"cluster19"
"2024-12-01T10:38:30.514601";"cluster19"
"2024-12-01T10:38:08.140868";"cluster19"
"2024-12-01T10:40:04.783008";"cluster19"
"2024-12-01T10:40:30.948882";"cluster19"
"2024-12-01T10:40:46.904018";"cluster19"
"2024-12-01T10:40:52.834932";"cluster19"
"2024-12-01T10:41:42.981992";"cluster19"
"2024-12-01T10:41:48.099162";"cluster19"
"2024-12-01T10:42:14.218798";"cluster19"
"2024-12-01T10:41:56.465981";"cluster19"
